Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
30800PLN,Osoby prywatnej,Osobowe,Kia,Pro_cee'd,2013,75 000 km,1 582 cm3,Diesel,111 KM,Manualna,Na przednie koła,Kompakt,3,5,Biały,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600PLN,Osoby prywatnej,Osobowe,Opel,Corsa,2007,63 000 km,1 229 cm3,Benzyna,80 KM,Manualna,Na przednie koła,Auta miejskie,3,5,Srebrny,Tak,Używane,1.2 16V Enjoy,D (2006-2014),Tak,29/12/2007,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,
89790PLN,Osoby prywatnej,Osobowe,BMW,Seria 5,2015,151 000 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,,,Biały,Tak,Używane,F10/F11 (2009-2017),F10/F11 (2009-2017),,,Tak,520,Tak,Tak,Tak,WB908AP,Tak,,,,,,,,,,,,,,,,,,,,,
58500PLN,Osoby prywatnej,Osobowe,Chrysler,Town & Country,2014,158 000 km,3 605 cm3,Benzyna+LPG,283 KM,Automatyczna,Na przednie koła,Minivan,5,7,Srebrny,Tak,Używane,,II (2001-),Tak,,,,,,,,,Stany Zjednoczone,Tak,,,,,,,,,,,,,,,,,,,
17900PLN,Osoby prywatnej,Osobowe,Ford,Galaxy,2006,224 000 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Minivan,5,7,Czarny,,Używane,2.0 TDCi Ghia,Mk2 (2006-2015),Tak,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,
13900PLN,Osoby prywatnej,Osobowe,Suzuki,Swift,2008,119 200 km,1 586 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Auta miejskie,3,5,Srebrny,Tak,Używane,1.6 Sport,IV (2004-2010),Tak,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
43000PLN,Firmy,Osobowe,Peugeot,3008,2014,61 326 km,1 598 cm3,Benzyna,120 KM,Manualna,Na przednie koła,SUV,5,5,Srebrny,Tak,Używane,,I (2009-2016),Tak,30/05/2014,,,Tak,,Tak,,Tak,Polska,Tak,,256 PLN,,,,,,,,,,,,,,,,,
21900PLN,Osoby prywatnej,Osobowe,Opel,Meriva,2011,154 000 km,1 400 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Szary,,Używane,,II (2010-),,,Tak,,Tak,,Tak,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
22500PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2010,170 000 km,1 968 cm3,Diesel,140 KM,Manualna,,Kompakt,5,,Niebieski,,Używane,,VI (2008-2013),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
17500PLN,Osoby prywatnej,Osobowe,BMW,Seria 3,2007,314 107 km,1 995 cm3,Diesel,163 KM,Manualna,Na tylne koła,Kombi,5,5,Czarny,,Używane,,E90/E91/E92/E93 (2005-2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73000PLN,Osoby prywatnej,Osobowe,Audi,A6,2011,170 000 km,2 967 cm3,Diesel,245 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,4,5,Czarny,Tak,Używane,3.0 TDI Quattro S tronic,C7 (2011-2018),Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19900PLN,Osoby prywatnej,Osobowe,Kia,Rio,2012,153 000 km,1 120 cm3,Diesel,75 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Srebrny,,Używane,,III (2011-),Tak,05/01/2012,Tak,,Tak,,,,Tak,Holandia,,Tak,,,,,,,,,,,,,,,,,,
34900PLN,Firmy,Osobowe,Ford,Kuga,2009,125 000 km,1 997 cm3,Diesel,136 KM,Manualna,4x4 (dołączany automatycznie),SUV,5,5,Inny kolor,,Używane,,I (2008-2012),,10/12/2009,Tak,,,,,,Tak,,Tak,Tak,,,,,,,,,,,,,,,,,,
22500PLN,Osoby prywatnej,Osobowe,Honda,Civic,2008,260 000 km,1 800 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Szary,Tak,Używane,,VIII (2006-2011),Tak,,Tak,,Tak,,,,Tak,Holandia,,Tak,,260 000 km,,,,,,,,,,,,,,,,
46000PLN,Osoby prywatnej,Osobowe,Audi,A4,2014,243 000 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,,Czarny,,Używane,,B8 (2007-2015),,,Tak,,,,,,Tak,,,,,,Tak,,,,,,,,,,,,,,,
33000PLN,Osoby prywatnej,Osobowe,Audi,A5,2008,139 000 km,1 800 cm3,Benzyna,160 KM,Manualna,,Coupe,3,,Czarny,,Używane,,8T (2007-2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18900PLN,Osoby prywatnej,Osobowe,Opel,Astra,2010,199 000 km,1 686 cm3,Diesel,125 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,Używane,IV 1.7 CDTI Sport,J (2009-2015),Tak,30/10/2010,Tak,,Tak,,,,Tak,Niemcy,,,,,Tak,4 g/km,Tak,,,,,,,,,,,,,
74000PLN,Firmy,Osobowe,Mazda,6,2015,70 722 km,1 998 cm3,Benzyna,165 KM,Automatyczna,Na przednie koła,Kombi,5,5,Czerwony,Tak,Używane,,III (2012-),Tak,19/11/2015,Tak,,Tak,,Tak,,Tak,Polska,Tak,,440 PLN,,,,,,,,,,,,,,,,,
28290PLN,Osoby prywatnej,Osobowe,Fiat,Punto,2015,78 558 km,1 368 cm3,Benzyna+LPG,77 KM,Manualna,Na przednie koła,Auta miejskie,3,2,Biały,Tak,Używane,,II FL (2003-),,28/07/2015,Tak,,Tak,Tak,,,Tak,Polska,Tak,,,,,,,Tak,,,,,,,,,,,,
44900PLN,Osoby prywatnej,Osobowe,Volkswagen,Tiguan,2012,199 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,Tak,Używane,2.0 TDI BlueMot Sport&Style,I (2007-2016),,01/12/2012,Tak,,Tak,,,,Tak,Niemcy,,,,,,,Tak,,,,,,,,,,,,,
94900PLN,Osoby prywatnej,Osobowe,BMW,X5,2012,146 000 km,2 996 cm3,Benzyna,306 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Biały,Tak,Używane,,E70 (2006-2013),,,,,Tak,,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,
59900PLN,Firmy,Osobowe,Volkswagen,CC,2015,197 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,Sedan,4,5,Beżowy,Tak,Używane,2.0 TDI DPF BMT DSG,,Tak,16/06/2015,Tak,,Tak,Tak,Tak,WE107KN,Tak,Polska,Tak,,,,Tak,,,,,,,,,,,,,,,
22300PLN,Osoby prywatnej,Osobowe,Ford,Fiesta,2015,155 000 km,1 498 cm3,Diesel,75 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Niebieski,Tak,Używane,1.5 TDCi Trend,Mk7 (2008-),,26/06/2020,Tak,,,Tak,,DW128YR,,Polska,Tak,,,,Tak,,,,Tak,,,,,,,,,,,
13900PLN,Osoby prywatnej,Osobowe,Audi,A3,2005,197 000 km,1 968 cm3,Diesel,140 KM,Manualna,,Kompakt,3,,Inny kolor,,Używane,,8P (2003-2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16999PLN,Osoby prywatnej,Osobowe,Volkswagen,Passat,2008,249 000 km,1 968 cm3,Diesel,140 KM,Automatyczna,,Sedan,4,5,Srebrny,Tak,Używane,2.0 TDI Highline DSG,B6 (2005-2010),Tak,,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
9999PLN,Osoby prywatnej,Osobowe,Opel,Meriva,2010,181 266 km,1 364 cm3,Benzyna+LPG,90 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Srebrny,,Używane,1.4 Enjoy,I (2002-2010),Tak,,Tak,,Tak,,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,
22986PLN,Firmy,Osobowe,Nissan,Note,2009,142 200 km,1 400 cm3,Benzyna,88 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,,Używane,,I (2005-2013),Tak,,Tak,,,,,,,Inny,Tak,Tak,,,,,,,,,,,,,,,,,,
12900PLN,Osoby prywatnej,Osobowe,Suzuki,Swift,2007,180 000 km,1 328 cm3,Benzyna,92 KM,Manualna,4x4 (stały),Auta miejskie,5,5,Srebrny,,Używane,1.3 GS / Premium 4WD,IV (2004-2010),Tak,24/01/2007,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
10999PLN,Osoby prywatnej,Osobowe,Peugeot,207,2006,221 341 km,1 600 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Auta miejskie,3,5,Czarny,,Używane,,,Tak,29/07/2006,Tak,,,,,,Tak,Holandia,,Tak,,,,,,,,,,,,,,,,,,
38000PLN,Firmy,Osobowe,Ford,Focus,2015,78 037 km,1 596 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,Tak,Używane,,Mk3 (2010-),Tak,29/05/2015,Tak,,Tak,,Tak,,Tak,Polska,,,226 PLN,,,,,,,,,,,,,,,,,
199000PLN,Firmy,Osobowe,Mercedes-Benz,Klasa S,2014,153 000 km,2 987 cm3,Diesel,258 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,4,5,Czarny,Tak,Używane,350 (BlueTEC) d 4-Matic L 7G-TRONIC,W222 (2013-),Tak,17/04/2014,,,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,
20900PLN,Firmy,Osobowe,Opel,Zafira,2011,144 200 km,1 796 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Minivan,5,7,Szary,,Używane,ver-1-8-cosmo,B (2005-2014),,,,,,,,,Tak,,Tak,Tak,,,,,,,,,,,,,,,,,,
32900PLN,Osoby prywatnej,Osobowe,Nissan,Qashqai,2010,98 500 km,1 598 cm3,Benzyna,115 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,,Używane,1.6 Acenta,I (2007-2013),Tak,,,,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,
33900PLN,Firmy,Osobowe,Škoda,Fabia,2015,130 588 km,1 422 cm3,Diesel,90 KM,Automatyczna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Używane,1.4 TDI Ambition DSG,III (2014-),Tak,08/01/2016,Tak,,,,,EL1N717,Tak,Polska,,,,,,,,,,,,,,,,,,,,
25999PLN,Osoby prywatnej,Osobowe,Ford,Focus,2015,231 000 km,1 498 cm3,Benzyna,150 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Używane,,Mk3 (2010-),Tak,30/10/2015,Tak,,,Tak,,,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
34900PLN,Osoby prywatnej,Osobowe,Fiat,500,2015,58 960 km,1 242 cm3,Benzyna,69 KM,Manualna,Na przednie koła,Auta małe,3,,Czerwony,Tak,Używane,,,,,Tak,,Tak,Tak,Tak,,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
23000PLN,Osoby prywatnej,Osobowe,Honda,Jazz,2009,95 000 km,1 339 cm3,Benzyna,100 KM,Automatyczna,Na przednie koła,Auta miejskie,5,5,Niebieski,Tak,Używane,,III (2008-2014),Tak,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,
87000PLN,Osoby prywatnej,Osobowe,BMW,Seria 5,2014,147 000 km,1 995 cm3,Diesel,218 KM,Automatyczna,Na tylne koła,Kombi,5,5,Brązowy,Tak,Używane,525d Luxury Line,F10/F11 (2009-2017),Tak,01/03/2014,Tak,,,,,,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
21500PLN,Osoby prywatnej,Osobowe,Volkswagen,Passat,2007,256 000 km,3 189 cm3,Benzyna,250 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,4,5,Czarny,Tak,Używane,3.2 V6 FSI 4Mot Comfortline DSG,B6 (2005-2010),Tak,,Tak,,,,,KR7AU55,Tak,Dania,,,,,,,,,,,,,,,,,,,,
33900PLN,Osoby prywatnej,Osobowe,Audi,A4,2008,170 000 km,1 800 cm3,Benzyna,160 KM,Manualna,Na przednie koła,Kombi,5,5,Biały,Tak,Używane,,B8 (2007-2015),,,Tak,,,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
47900PLN,Osoby prywatnej,Osobowe,Audi,A1,2014,59 713 km,1 390 cm3,Benzyna,122 KM,Automatyczna,Na przednie koła,Auta miejskie,5,5,Biały,Tak,Używane,,,,28/08/2014,,,Tak,,,WCI55255,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
115000PLN,Osoby prywatnej,Osobowe,Porsche,Panamera,2011,225 000 km,3 600 cm3,Benzyna,300 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,4,4,Inny kolor,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18890PLN,Osoby prywatnej,Osobowe,BMW,X3,2005,339 583 km,2 000 cm3,Diesel,150 KM,Manualna,4x4 (dołączany automatycznie),SUV,,,Czarny,Tak,Używane,,E83 (2003-2010),,,,,,,,PL 91403,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
25900PLN,Osoby prywatnej,Osobowe,Peugeot,208,2012,178 000 km,1 560 cm3,Diesel,115 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Czarny,Tak,Używane,1.6 e-HDi Allure STT,,Tak,09/10/2012,,,,,,DW 3GK72,,Niemcy,,,,,Tak,,,,Tak,,,,,,,,,,,
29000PLN,Osoby prywatnej,Osobowe,Dacia,Lodgy,2013,52 300 km,1 598 cm3,Benzyna,84 KM,Manualna,,Minivan,5,,Srebrny,,Używane,1.6 Laureate,,,,Tak,,,,,,Tak,,Tak,,,,,,,,,,,,,,,,,,,
85000PLN,Firmy,Osobowe,Kia,Sorento,2015,107 528 km,1 995 cm3,Diesel,185 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,7,Biały,Tak,Używane,,,Tak,09/10/2015,,,Tak,,Tak,,Tak,Polska,,,506 PLN,,,,,,,,,,,,,,,,,
10800PLN,Osoby prywatnej,Osobowe,Ford,Focus,2010,275 000 km,1 560 cm3,Diesel,109 KM,Manualna,,Kombi,5,5,Biały,Tak,Używane,1.6 TDCi Amber X,Mk2 (2004-2011),,,Tak,,,,,,,Polska,Tak,,,,,,,,,,,,,,,,,,,
57000PLN,Osoby prywatnej,Osobowe,Kia,Sportage,2015,98 000 km,1 591 cm3,Benzyna,135 KM,Manualna,,SUV,5,,Brązowy,Tak,Używane,1.6 GDI XL 2WD,III (2010-2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42000PLN,Osoby prywatnej,Osobowe,Volkswagen,Passat,2014,185 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Używane,2.0 TDI,B7 (2010-2014),Tak,,,,,,,,,Niemcy,,,,,,,,,,,,,,,,,,,,
40900PLN,Firmy,Osobowe,BMW,Seria 1,2015,220 000 km,1 500 cm3,Diesel,116 KM,Manualna,Na tylne koła,Kompakt,5,5,Czarny,,Używane,,,Tak,,Tak,,,,,,Tak,Niemcy,Tak,,,,,,,,,,,,,,,,,,,
45900PLN,Osoby prywatnej,Osobowe,Audi,A5,2011,196 000 km,1 984 cm3,Benzyna,211 KM,Automatyczna,4x4 (stały),Coupe,2,4,Srebrny,Tak,Używane,ver-2-0-tfsi-quattro,8T (2007-2016),,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,
52900PLN,Osoby prywatnej,Osobowe,BMW,Seria 7,2009,182 000 km,3 000 cm3,Diesel,245 KM,Automatyczna,,Sedan,4,,Czarny,,Używane,,F01 (2008-2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41697PLN,Firmy,Osobowe,Volkswagen,Tiguan,2013,99 000 km,1 390 cm3,Benzyna,122 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,Tak,Używane,1.4 TSI Trend&Fun,I (2007-2016),Tak,,Tak,,Tak,Tak,,GERMAN MOTORS,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
36700PLN,Firmy,Osobowe,Audi,A4,2008,280 000 km,1 968 cm3,Diesel,170 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,Używane,,B8 (2007-2015),Tak,18/11/2008,Tak,,,,,,Tak,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
12900PLN,Firmy,Osobowe,Opel,Corsa,2009,88 000 km,1 200 cm3,Benzyna,80 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Inny kolor,,Używane,,D (2006-2014),Tak,,,,,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
20900PLN,Firmy,Osobowe,Seat,Exeo,2010,202 000 km,1 968 cm3,Diesel,143 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Używane,2.0 TDI DPF Style,,Tak,,Tak,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,
53000PLN,Firmy,Osobowe,Opel,Insignia,2015,48 230 km,1 598 cm3,Benzyna,170 KM,Manualna,Na przednie koła,Sedan,5,5,Srebrny,Tak,Używane,,A (2008-2017),Tak,30/11/2015,,,Tak,,Tak,,Tak,Polska,Tak,,315 PLN,,,,,,,,,,,,,,,,,
45100PLN,Firmy,Osobowe,BMW,Seria 5,2012,199 000 km,1 995 cm3,Diesel,184 KM,Manualna,Na tylne koła,Kombi,5,5,Szary,,Używane,520d,F10/F11 (2009-2017),Tak,,Tak,,Tak,Tak,Tak,,Tak,Niemcy,Tak,Tak,,,,,,,,12 miesięcy,,,,,,,,,,
64000PLN,Osoby prywatnej,Osobowe,Volvo,XC 90,2010,190 000 km,2 500 cm3,Benzyna+LPG,210 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,7,Brązowy,Tak,Używane,,I (2002-2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240000PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,CLS,2015,125 000 km,5 461 cm3,Benzyna,585 KM,Automatyczna,4x4 (dołączany automatycznie),Coupe,4,4,Biały,,Używane,63 AMG S 4-Matic,C218 (2011-),Tak,,Tak,,,,,,Tak,,Tak,,,,,,,,,,,,,,,,,,,
34000PLN,Osoby prywatnej,Osobowe,Honda,Accord,2009,230 000 km,1 997 cm3,Benzyna+LPG,156 KM,Automatyczna,,Sedan,4,5,Czarny,,Używane,2.0 Comfort,VIII (2008-2015),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
45510PLN,Osoby prywatnej,Osobowe,Renault,Master,2014,999 999 km,2 300 cm3,Diesel,125 KM,Manualna,Na przednie koła,Minivan,5,9,Niebieski,Tak,Używane,,IV (2010-),,,Tak,,,Tak,,,Tak,,Tak,,,,Tak,,,,Tak,,,,,,,,,,,
8700PLN,Osoby prywatnej,Osobowe,Škoda,Superb,2005,350 000 km,1 896 cm3,Diesel,130 KM,Automatyczna,Na przednie koła,Sedan,4,5,Złoty,Tak,Używane,1.9 TDI Elegance,I (2001-2008),Tak,,Tak,,Tak,,,,Tak,,,,,,,,,,,,,,,,,,,,,
19500PLN,Osoby prywatnej,Osobowe,Opel,Astra,2010,200 000 km,1 598 cm3,Benzyna,115 KM,Manualna,Na przednie koła,Kompakt,5,5,Szary,Tak,Używane,,J (2009-2015),Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45900PLN,Osoby prywatnej,Osobowe,Toyota,RAV4,2011,176 000 km,1 987 cm3,Benzyna,158 KM,Manualna,4x4 (dołączany ręcznie),SUV,5,5,Szary,Tak,Używane,2.0 VVT-i Prestige MS,III (2006-2012),Tak,24/03/2011,Tak,,Tak,,,OP3511M,,Polska,,,,,,,,,,,,,,,,,,,,
37500PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,SLK,2008,126 500 km,1 800 cm3,Benzyna,135 KM,Automatyczna,,Kabriolet,3,,Czarny,,Używane,,R171 (2004-2011),,,,,Tak,,,,,Polska,,,,,,,,,,,,,,,,,,,,
48500PLN,Osoby prywatnej,Osobowe,Citroën,C4 Grand Picasso,2014,99 905 km,1 598 cm3,Benzyna,156 KM,Manualna,Na przednie koła,Minivan,5,7,Szary,Tak,Używane,,II (2013-),Tak,17/02/2014,Tak,,,,,,,Polska,,,,,,,,,,,,,,,,,,,,
7900PLN,Osoby prywatnej,Osobowe,Renault,Scenic,2008,211 000 km,1 870 cm3,Diesel,120 KM,Manualna,Na przednie koła,Minivan,5,5,Szary,,Używane,,II (2003-2009),Tak,,Tak,,,,,,,Belgia,,Tak,,,,,,,,,,,,,,,,,,
55000PLN,Osoby prywatnej,Osobowe,Lancia,Voyager,2012,123 880 km,2 776 cm3,Diesel,163 KM,Automatyczna,,Minivan,5,7,Srebrny,Tak,Używane,2.8CRD Silver,III (2001-),Tak,,Tak,,,,,,,Polska,Tak,,,,,,,,,,,,,,,,,,,
49900PLN,Firmy,Osobowe,Opel,Insignia,2015,146 000 km,1 956 cm3,Diesel,170 KM,Manualna,4x4 (dołączany automatycznie),Kombi,5,5,Szary,Tak,Używane,CT 2.0 CDTI 4x4,A (2008-2017),Tak,08/06/2015,Tak,,,Tak,,,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
26800PLN,Osoby prywatnej,Osobowe,Citroën,C3,2015,42 500 km,999 cm3,Benzyna,68 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Bordowy,Tak,Używane,,II (2008-2018),,03/08/2020,,,Tak,,,KNS9270K,,Niemcy,,,,,,,,,,,,,,,,,,,,
76900PLN,Firmy,Osobowe,Audi,A6,2015,170 000 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Czarny,,Używane,2.0 TDI ultra S tronic,C7 (2011-2018),Tak,01/06/2015,Tak,,Tak,,,,Tak,Belgia,Tak,Tak,,,,,,,,,,,,,,,,,,
37900PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,Klasa S,2006,405 000 km,3 498 cm3,Benzyna+LPG,272 KM,Automatyczna,,Sedan,4,,Czarny,,Używane,350 L,W221 (2005-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15900PLN,Osoby prywatnej,Osobowe,Hyundai,I30,2009,164 000 km,1 400 cm3,Benzyna,109 KM,Manualna,Na przednie koła,Kombi,5,5,Czerwony,,Używane,,I (2007-2012),,20/10/2009,Tak,,,,,,Tak,Niemcy,,Tak,,,,,Tak,,,,,,,,,,,,,
17000PLN,Osoby prywatnej,Osobowe,Toyota,RAV4,2005,226 000 km,,Diesel,,,,SUV,,,Czarny,,Używane,II (2000-2005),II (2000-2005),,,,,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,
85900PLN,Osoby prywatnej,Osobowe,Audi,Q5,2013,103 709 km,2 000 cm3,Diesel,177 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Czarny,,Używane,,8R (2008-2016),Tak,28/12/2012,Tak,,Tak,,,,Tak,,,Tak,,,,,Tak,,,,,,,,,,,,,
27400PLN,Osoby prywatnej,Osobowe,Citroën,C4,2012,206 000 km,1 560 cm3,Diesel,112 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,Tak,Używane,,II (2010-),,07/12/2012,Tak,,Tak,,,WPNNV58,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
16000PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2005,197 000 km,1 968 cm3,Diesel,140 KM,Automatyczna,Na tylne koła,Kompakt,5,5,Biały,Tak,Używane,V 2.0 TDI Sportline DSG,V (2003-2009),,13/01/2006,Tak,,Tak,,,,,,,,,,,,Tak,,,,,,,,,,,,,
33500PLN,Firmy,Osobowe,Renault,Clio,2015,118 235 km,1 149 cm3,Benzyna+LPG,73 KM,Manualna,Na przednie koła,Kompakt,5,5,Czerwony,Tak,Używane,,IV (2012-2018),Tak,13/10/2015,Tak,,Tak,,Tak,,Tak,Polska,,,199 PLN,,,,,,,,,,,,,,,,,
90000PLN,Osoby prywatnej,Osobowe,BMW,M5,2005,89 500 km,5 000 cm3,Benzyna,507 KM,Automatyczna,,Sedan,5,,Inny kolor,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000PLN,Firmy,Osobowe,Renault,Megane,2011,163 000 km,1 998 cm3,Benzyna,180 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,,Używane,,III (2008-2016),Tak,01/11/2011,Tak,,,,,,Tak,Niemcy,,Tak,,,,150 g/km,,,,,,,,,,,,,,
10900PLN,Firmy,Osobowe,Suzuki,Swift,2008,174 000 km,1 300 cm3,Benzyna+LPG,92 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Szary,,Używane,,IV (2004-2010),Tak,,Tak,,,,,,,,Tak,Tak,,,,,,,,,,,,,,,,,,
110000PLN,Firmy,Osobowe,Jaguar,XJ,2013,87 872 km,2 995 cm3,Benzyna,340 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,4,5,Bordowy,Tak,Używane,,,Tak,02/01/2014,Tak,,Tak,,Tak,,Tak,Polska,Tak,,655 PLN,,,,,,,,,,,,,,,,,
35000PLN,Osoby prywatnej,Osobowe,Opel,Insignia,2013,164 000 km,1 956 cm3,Diesel,163 KM,Manualna,,Kombi,4,,Zielony,,Używane,2.0 CDTI Cosmo S&S,A (2008-2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22000PLN,Firmy,Osobowe,Toyota,Yaris,2011,97 627 km,998 cm3,Benzyna,69 KM,Manualna,Na przednie koła,Kompakt,5,3,Szary,Tak,Używane,,III (2011-),Tak,13/12/2011,,,Tak,,Tak,,Tak,Polska,Tak,,131 PLN,,,,,,,,,,,,,,,,,
9400PLN,Osoby prywatnej,Osobowe,Citroën,C4 Grand Picasso,2008,216 000 km,1 560 cm3,Diesel,109 KM,Manualna,Na przednie koła,Minivan,5,7,Beżowy,Tak,Używane,,I (2006-2013),Tak,04/06/2008,,,Tak,,,,,,,Tak,,,,,,,,,,,,,,,,,,
25900PLN,Firmy,Osobowe,Volkswagen,Golf,2011,150 000 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,,Używane,,VI (2008-2013),Tak,,Tak,,,,,,Tak,Niemcy,Tak,,,,,,Tak,,,,,,,,,,,,,
22900PLN,Osoby prywatnej,Osobowe,Ford,Fiesta,2011,50 920 km,1 250 cm3,Benzyna,82 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Srebrny,,Używane,,Mk7 (2008-),Tak,01/06/2011,Tak,,Tak,,,,Tak,,,Tak,,,,,Tak,,,,,,,,,,,,,
