Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
37900PLN,Firmy,Osobowe,Volkswagen,Touran,2012,190 000 km,1 968 cm3,Diesel,170 KM,Manualna,Na przednie koła,Minivan,5,7,Czarny,,Używane,,II (2010-2015),Tak,,Tak,,,,,,Tak,Niemcy,Tak,,,,,,Tak,,,,,,,,,,,,,
15000PLN,Osoby prywatnej,Osobowe,Opel,Astra,2005,237 000 km,1 998 cm3,Benzyna+LPG,200 KM,Manualna,Na przednie koła,Kompakt,3,5,Srebrny,,Używane,III GTC 2.0 T Sport,H (2004-2014),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
18900PLN,Osoby prywatnej,Osobowe,Opel,Insignia,2010,285 200 km,1 956 cm3,Diesel,130 KM,Manualna,,Sedan,5,5,Szary,,Używane,2.0 CDTI,A (2008-2017),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
25500PLN,Osoby prywatnej,Osobowe,Škoda,Octavia,2012,145 594 km,1 595 cm3,Benzyna+LPG,102 KM,Manualna,Na przednie koła,Sedan,5,5,Czarny,Tak,Używane,1.6,II (2004-2013),,,,,Tak,,,,,Polska,,,,,,,Tak,,,,,,,,,,,,,
39800PLN,Osoby prywatnej,Osobowe,Hyundai,i40,2013,107 000 km,1 685 cm3,Diesel,136 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,Używane,1.7 CRDi Premium,,Tak,,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
16900PLN,Osoby prywatnej,Osobowe,Ford,S-Max,2008,285 000 km,1 753 cm3,Diesel,125 KM,Manualna,,Minivan,5,,Czarny,,Używane,1.8 TDCi Silver X,I (2006-2015),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
288671PLN,Osoby prywatnej,Osobowe,Land Rover,Range Rover,2015,106 000 km,4 367 cm3,Diesel,340 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Szary,Tak,Używane,4.4SD V8 AB,IV (2012-2018),,01/04/2015,Tak,,,Tak,Tak,,Tak,Polska,,,"3 892,01 PLN",,,,Tak,,,,,,,,,,60 000 PLN,26,73 500 PLN,
18900PLN,Osoby prywatnej,Osobowe,Opel,Insignia,2010,269 450 km,1 956 cm3,Diesel,130 KM,Manualna,Na przednie koła,Kombi,5,5,Inny kolor,,Używane,2.0 CDTI Edition,A (2008-2017),,,Tak,,Tak,,,,,,,Tak,,,,,Tak,,,,,,,,,,,,,
19800PLN,Osoby prywatnej,Osobowe,BMW,Seria 3,2005,148 200 km,1 995 cm3,Benzyna,150 KM,Manualna,,Sedan,5,,Inny kolor,Tak,Używane,320i,E90/E91/E92/E93 (2005-2012),,,,,,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
150000PLN,Osoby prywatnej,Osobowe,Maserati,Quattroporte,2009,149 200 km,4 691 cm3,Benzyna,440 KM,Automatyczna,4x4 (stały),Sedan,4,5,Inny kolor,Tak,Używane,GT S,,,09/03/2010,Tak,,Tak,Tak,,GO ROBS,Tak,,,,,,,,Tak,,,,,,,,,,,,,
